Rank,Bib,NOC,Name,Boulder1,Boulder2,Boulder3,Boulder4,Awarded,Height
1,1,JPN,ANRAKU Sorato,24.9,25.0,9.5,9.6,69.0,1.68
2,4,JPN,NARASAKI Tomoa,9.8,10.0,9.8,24.8,54.4,1.7
3,2,GBR,ROBERTS Toby,9.8,9.7,9.9,24.7,54.1,1.74
4,9,FRA,AVEZOU Sam,10.0,10.0,4.8,24.4,49.2,1.7
5,8,CZE,ONDRA Adam,9.6,9.6,4.7,24.8,48.7,1.85
6,3,AUT,SCHUBERT Jakob,24.9,9.9,5.0,4.9,44.7,1.75
7,15,BEL,Van DUYSEN Hannes,10.0,9.8,4.8,9.7,34.3,1.73
8,18,GBR,MCARTHUR Hamish,9.9,10.0,9.3,5.0,34.2,1.82
9,12,FRA,JENFT Paul,4.9,9.9,9.8,9.5,34.1,1.88
10,5,KOR,LEE Dohyun,9.6,9.9,9.5,5.0,34.0,1.76
11,6,USA,DUFFY Colin,10.0,9.9,9.1,4.8,33.8,1.7
12,10,GER,FLOHE Yannick,10.0,10.0,4.9,4.8,29.7,1.79
13,16,CHN,PAN Yufei,4.9,9.6,5.0,9.5,29.0,1.73
14,13,ESP,GINES LOPEZ Alberto,9.9,9.7,4.1,5.0,28.7,1.7
15,7,GER,MEGOS Alexander,5.0,9.7,5.0,5.0,24.7,1.76
16,11,SUI,LEHMANN Sascha,4.5,5.0,9.5,5.0,24.0,1.63
17,17,SLO,POTOCAR Luka,0.0,9.6,5.0,5.0,19.6,1.77
18,14,USA,GRUPPER Jesse,0.0,9.6,4.5,4.8,18.9,1.81
19,19,AUS,HARRISON Campbell,0.0,4.4,0.0,5.0,9.4,1.82
19,20,RSA,JANSE van RENSBURG Mel,0.0,0.0,4.7,4.7,9.4,1.75
