Rank,Bib,NOC,Name,Boulder1,Boulder2,Boulder3,Boulder4,Awarded,Height
1,1,SLO,GARNBRET Janja,25.0,25.0,24.9,24.7,99.6,1.64
2,7,FRA,BERTONE Oriane,24.9,24.9,25.0,9.7,84.5,1.64
3,3,USA,RABOUTOU Brooke,24.4,24.9,9.8,24.6,83.7,1.57
4,10,AUS,MACKENZIE Oceania,25.0,24.9,24.8,4.9,79.6,1.73 
5,5,USA,GROSSMAN Natalia,9.8,25.0,9.8,24.6,69.2,1.61
6,4,AUT,PILZ Jessica,9.8,10.0,24.5,24.5,68.8,1.65
7,6,JPN,NONAKA Miho,24.8,24.6,10.0,5.0,64.4,1.62
8,17,ITA,MORONI Camilla,5.0,24.5,10.0,24.5,64.0,1.58
9,13,CHN,LUO Zhilu,4.8,24.9,9.4,24.5,63.6,1.61
10,19,GBR,McNEICE Erin,5.0,24.7,24.9,5.0,59.6,1.65
11,2,JPN,MORI Ai,0.0,24.6,4.7,24.7,54.0,1.54
12,14,FRA,AVEZOU Zelia,4.7,24.7,10.0,9.9,49.3,1.58
13,8,KOR,SEO Chaehyun,5.0,24.8,9.7,4.7,44.2,1.64
14,16,UKR,KAZBEKOVA levgeniia,4.9,24.8,5.0,4.8,39.5,1.64
15,15,CHN,ZHANG Yuetong,4.8,10.0,10.0,4.9,29.7,1.63
16,18,GER,DOERFFEL Lucia,5.0,9.7,9.8,4.7,29.2,1.66
17,9,SLO,KRAMPL Mia,4.6,9.9,9.7,4.2,28.4,1.63
18,12,ITA,ROGORA Laura,0.0,4.4,5.0,3.8,13.2,1.53 
19,11,GBR,THOMPSON-SMITH Molly,0.0,4.8,5.0,0.0,9.8,1.57
20,20,RSA,MUKHEIBIR Lauren,0.0,0.0,0.0,0.0,0.0,1.6
